"individual" "replicate" "well" "batch" "sample_id"
"401" "NA19239" "r1" "F08" "NA19239.r1" "NA19239.r1.F08"
"402" "NA19239" "r1" "F09" "NA19239.r1" "NA19239.r1.F09"
"403" "NA19239" "r1" "F10" "NA19239.r1" "NA19239.r1.F10"
"404" "NA19239" "r1" "F12" "NA19239.r1" "NA19239.r1.F12"
"405" "NA19239" "r1" "G01" "NA19239.r1" "NA19239.r1.G01"
"406" "NA19239" "r1" "G02" "NA19239.r1" "NA19239.r1.G02"
"407" "NA19239" "r1" "G03" "NA19239.r1" "NA19239.r1.G03"
"408" "NA19239" "r1" "G07" "NA19239.r1" "NA19239.r1.G07"
"409" "NA19239" "r1" "G09" "NA19239.r1" "NA19239.r1.G09"
"410" "NA19239" "r1" "G10" "NA19239.r1" "NA19239.r1.G10"
"411" "NA19239" "r1" "G11" "NA19239.r1" "NA19239.r1.G11"
"412" "NA19239" "r1" "G12" "NA19239.r1" "NA19239.r1.G12"
"413" "NA19239" "r1" "H01" "NA19239.r1" "NA19239.r1.H01"
"414" "NA19239" "r1" "H03" "NA19239.r1" "NA19239.r1.H03"
"415" "NA19239" "r1" "H04" "NA19239.r1" "NA19239.r1.H04"
"416" "NA19239" "r1" "H06" "NA19239.r1" "NA19239.r1.H06"
"417" "NA19239" "r1" "H07" "NA19239.r1" "NA19239.r1.H07"
"418" "NA19239" "r1" "H08" "NA19239.r1" "NA19239.r1.H08"
"419" "NA19239" "r1" "H09" "NA19239.r1" "NA19239.r1.H09"
"420" "NA19239" "r1" "H10" "NA19239.r1" "NA19239.r1.H10"
"421" "NA19239" "r1" "H11" "NA19239.r1" "NA19239.r1.H11"
"422" "NA19239" "r2" "A01" "NA19239.r2" "NA19239.r2.A01"
"423" "NA19239" "r2" "A02" "NA19239.r2" "NA19239.r2.A02"
"424" "NA19239" "r2" "A04" "NA19239.r2" "NA19239.r2.A04"
"425" "NA19239" "r2" "A05" "NA19239.r2" "NA19239.r2.A05"
"426" "NA19239" "r2" "A06" "NA19239.r2" "NA19239.r2.A06"
"427" "NA19239" "r2" "A07" "NA19239.r2" "NA19239.r2.A07"
"428" "NA19239" "r2" "A08" "NA19239.r2" "NA19239.r2.A08"
"429" "NA19239" "r2" "A09" "NA19239.r2" "NA19239.r2.A09"
"430" "NA19239" "r2" "A11" "NA19239.r2" "NA19239.r2.A11"
"431" "NA19239" "r2" "B02" "NA19239.r2" "NA19239.r2.B02"
"432" "NA19239" "r2" "B04" "NA19239.r2" "NA19239.r2.B04"
"433" "NA19239" "r2" "B05" "NA19239.r2" "NA19239.r2.B05"
"434" "NA19239" "r2" "B06" "NA19239.r2" "NA19239.r2.B06"
"435" "NA19239" "r2" "B08" "NA19239.r2" "NA19239.r2.B08"
"436" "NA19239" "r2" "B09" "NA19239.r2" "NA19239.r2.B09"
"437" "NA19239" "r2" "B12" "NA19239.r2" "NA19239.r2.B12"
"438" "NA19239" "r2" "C02" "NA19239.r2" "NA19239.r2.C02"
"439" "NA19239" "r2" "C04" "NA19239.r2" "NA19239.r2.C04"
"440" "NA19239" "r2" "C05" "NA19239.r2" "NA19239.r2.C05"
"441" "NA19239" "r2" "C07" "NA19239.r2" "NA19239.r2.C07"
"442" "NA19239" "r2" "C09" "NA19239.r2" "NA19239.r2.C09"
"443" "NA19239" "r2" "C11" "NA19239.r2" "NA19239.r2.C11"
"444" "NA19239" "r2" "C12" "NA19239.r2" "NA19239.r2.C12"
"445" "NA19239" "r2" "D01" "NA19239.r2" "NA19239.r2.D01"
"446" "NA19239" "r2" "D02" "NA19239.r2" "NA19239.r2.D02"
"447" "NA19239" "r2" "D03" "NA19239.r2" "NA19239.r2.D03"
"448" "NA19239" "r2" "D04" "NA19239.r2" "NA19239.r2.D04"
"449" "NA19239" "r2" "D05" "NA19239.r2" "NA19239.r2.D05"
"450" "NA19239" "r2" "D06" "NA19239.r2" "NA19239.r2.D06"
"451" "NA19239" "r2" "D08" "NA19239.r2" "NA19239.r2.D08"
"452" "NA19239" "r2" "D11" "NA19239.r2" "NA19239.r2.D11"
"453" "NA19239" "r2" "D12" "NA19239.r2" "NA19239.r2.D12"
"454" "NA19239" "r2" "E01" "NA19239.r2" "NA19239.r2.E01"
"455" "NA19239" "r2" "E02" "NA19239.r2" "NA19239.r2.E02"
"456" "NA19239" "r2" "E04" "NA19239.r2" "NA19239.r2.E04"
"457" "NA19239" "r2" "E05" "NA19239.r2" "NA19239.r2.E05"
"458" "NA19239" "r2" "E06" "NA19239.r2" "NA19239.r2.E06"
"459" "NA19239" "r2" "E07" "NA19239.r2" "NA19239.r2.E07"
"460" "NA19239" "r2" "E08" "NA19239.r2" "NA19239.r2.E08"
"461" "NA19239" "r2" "E11" "NA19239.r2" "NA19239.r2.E11"
"462" "NA19239" "r2" "E12" "NA19239.r2" "NA19239.r2.E12"
"463" "NA19239" "r2" "F01" "NA19239.r2" "NA19239.r2.F01"
"464" "NA19239" "r2" "F02" "NA19239.r2" "NA19239.r2.F02"
"465" "NA19239" "r2" "F03" "NA19239.r2" "NA19239.r2.F03"
"466" "NA19239" "r2" "F05" "NA19239.r2" "NA19239.r2.F05"
"467" "NA19239" "r2" "F08" "NA19239.r2" "NA19239.r2.F08"
"468" "NA19239" "r2" "F09" "NA19239.r2" "NA19239.r2.F09"
"469" "NA19239" "r2" "F10" "NA19239.r2" "NA19239.r2.F10"
"470" "NA19239" "r2" "F11" "NA19239.r2" "NA19239.r2.F11"
"471" "NA19239" "r2" "G01" "NA19239.r2" "NA19239.r2.G01"
"472" "NA19239" "r2" "G02" "NA19239.r2" "NA19239.r2.G02"
"473" "NA19239" "r2" "G04" "NA19239.r2" "NA19239.r2.G04"
"474" "NA19239" "r2" "G05" "NA19239.r2" "NA19239.r2.G05"
"475" "NA19239" "r2" "G06" "NA19239.r2" "NA19239.r2.G06"
"476" "NA19239" "r2" "G07" "NA19239.r2" "NA19239.r2.G07"
"477" "NA19239" "r2" "G09" "NA19239.r2" "NA19239.r2.G09"
"478" "NA19239" "r2" "G10" "NA19239.r2" "NA19239.r2.G10"
"479" "NA19239" "r2" "G11" "NA19239.r2" "NA19239.r2.G11"
"480" "NA19239" "r2" "G12" "NA19239.r2" "NA19239.r2.G12"
"481" "NA19239" "r2" "H01" "NA19239.r2" "NA19239.r2.H01"
"482" "NA19239" "r2" "H04" "NA19239.r2" "NA19239.r2.H04"
"483" "NA19239" "r2" "H05" "NA19239.r2" "NA19239.r2.H05"
"484" "NA19239" "r2" "H06" "NA19239.r2" "NA19239.r2.H06"
"485" "NA19239" "r2" "H08" "NA19239.r2" "NA19239.r2.H08"
"486" "NA19239" "r2" "H09" "NA19239.r2" "NA19239.r2.H09"
"487" "NA19239" "r2" "H10" "NA19239.r2" "NA19239.r2.H10"
"488" "NA19239" "r2" "H11" "NA19239.r2" "NA19239.r2.H11"
"489" "NA19239" "r2" "H12" "NA19239.r2" "NA19239.r2.H12"
"490" "NA19239" "r3" "A02" "NA19239.r3" "NA19239.r3.A02"
"491" "NA19239" "r3" "A03" "NA19239.r3" "NA19239.r3.A03"
"492" "NA19239" "r3" "A04" "NA19239.r3" "NA19239.r3.A04"
"493" "NA19239" "r3" "A05" "NA19239.r3" "NA19239.r3.A05"
"494" "NA19239" "r3" "A06" "NA19239.r3" "NA19239.r3.A06"
"495" "NA19239" "r3" "A07" "NA19239.r3" "NA19239.r3.A07"
"496" "NA19239" "r3" "A08" "NA19239.r3" "NA19239.r3.A08"
"497" "NA19239" "r3" "A09" "NA19239.r3" "NA19239.r3.A09"
"498" "NA19239" "r3" "A10" "NA19239.r3" "NA19239.r3.A10"
"499" "NA19239" "r3" "A11" "NA19239.r3" "NA19239.r3.A11"
"500" "NA19239" "r3" "A12" "NA19239.r3" "NA19239.r3.A12"
"501" "NA19239" "r3" "B01" "NA19239.r3" "NA19239.r3.B01"
"502" "NA19239" "r3" "B02" "NA19239.r3" "NA19239.r3.B02"
"503" "NA19239" "r3" "B03" "NA19239.r3" "NA19239.r3.B03"
"504" "NA19239" "r3" "B04" "NA19239.r3" "NA19239.r3.B04"
"505" "NA19239" "r3" "B05" "NA19239.r3" "NA19239.r3.B05"
"506" "NA19239" "r3" "B06" "NA19239.r3" "NA19239.r3.B06"
"507" "NA19239" "r3" "B07" "NA19239.r3" "NA19239.r3.B07"
"508" "NA19239" "r3" "B10" "NA19239.r3" "NA19239.r3.B10"
"509" "NA19239" "r3" "B11" "NA19239.r3" "NA19239.r3.B11"
"510" "NA19239" "r3" "B12" "NA19239.r3" "NA19239.r3.B12"
"511" "NA19239" "r3" "C01" "NA19239.r3" "NA19239.r3.C01"
"512" "NA19239" "r3" "C02" "NA19239.r3" "NA19239.r3.C02"
"513" "NA19239" "r3" "C03" "NA19239.r3" "NA19239.r3.C03"
